Skip to main content Search Search Search Toggle navigation Cornell University Registrar Classes + Enrollment Class Roster Courses of Study Courses of Study Archive Student Essentials Gateway Courses Prorated Tuition Student Center FAQ Classes and Enrollment FAQ University Registration Calendars + Exams Academic Calendar Final Exam Policies Spring Prelim Schedule Spring Final Exam Schedule Fall Prelim Exam Schedule Fall Final Exam Schedule Grades + Transcripts Grading Median Grades Ordering Transcripts Transcript FAQ Transcript Keys Validating an eTranscript Service + Resources Apostille Certifications University Registrar Directory College Advising Directory College Registrar Directory Diploma Information Disability Accommodations FERPA ID Cards Mental Health at Cornell Names and Name Changes Use of Student Data Veteran Education Benefits Building Codes Faculty + Staff Faculty Center/Advisor Center Advisor Center FAQ Opscan Scanning Service Changing CIP Codes Data Requests Program Registration For Registrar Staff Spring Final Exam Schedule NOTE: These dates may include Religious Holidays for some students. NYS Education Law §224-A mandates that faculty make available an opportunity to make up any examination missed because of religious beliefs. In order to facilitate preparation of makeup exams, students intending to be absent in order to observe any of these holidays are requested to notify the instructor by Friday, April 1, 2022. For additional information about Final Exam policies, see the Faculty Handbook. 
Class              date          time     exam location or date due
AAS 2620 001     5/18/2022     12:00 PM   Final Deliverable due
AAS 3030 001     5/16/2022     12:00 PM   Final Deliverable due

AEM 1200 001     5/18/2022      9:00 AM   Online Exam
AEM 1500 001     5/16/2022      7:00 PM   Plant Science Building 233
AEM 2015 001     5/19/2022      4:30 PM   Final Deliverable due
AEM 2020 001     5/19/2022      7:00 PM   Online Exam
AEM 2050 001     5/15/2022      2:00 PM   Online Exam
AEM 2210 001     5/15/2022      2:00 PM   Kennedy Hall 116 Call Aud
AEM 2225 001     5/19/2022      7:00 PM   Warren Hall 175
AEM 2241 001     5/17/2022      7:00 PM   Kennedy Hall 116 Call Aud
AEM 2241 002     5/17/2022      7:00 PM   Kennedy Hall 116 Call Aud
AEM 2300 001     5/18/2022      2:00 PM   Online Exam
AEM 2310 001     5/14/2022      2:00 PM   Klarman Hall KG70
AEM 2420 001     5/16/2022      7:00 PM   Online Exam
AEM 2480 001     5/17/2022      2:00 PM   Warren Hall 175
AEM 2700 001     5/17/2022     12:00 PM   Final Deliverable due
AEM 2700 002     5/17/2022     12:00 PM   Final Deliverable due
AEM 2700 003     5/17/2022     12:00 PM   Final Deliverable due
AEM 2700 004     5/18/2022     12:00 PM   Final Deliverable due
AEM 2700 005     5/18/2022     12:00 PM   Final Deliverable due
AEM 2700 006     5/18/2022     12:00 PM   Final Deliverable due
AEM 2700 007     5/17/2022     12:00 PM   Final Deliverable due
AEM 2850 001     5/19/2022      4:30 PM   Final Deliverable due
AEM 3100 001     5/20/2022      2:00 PM   Warren Hall 175
AEM 3110 001     5/17/2022     12:00 PM   Final Deliverable due
AEM 3110 002     5/17/2022     12:00 PM   Final Deliverable due
AEM 3230 001     5/16/2022      2:00 PM   Kennedy Hall 116 Call Aud
AEM 3230 002     5/16/2022      2:00 PM   Kennedy Hall 116 Call Aud
AEM 3230 003     5/16/2022      2:00 PM   Kennedy Hall 116 Call Aud
AEM 3260 001     5/21/2022      9:00 AM   Warren Hall 151
AEM 3370 001     5/14/2022      9:00 AM   Warren Hall 101
AEM 3385 001     5/16/2022     12:00 PM   Final Deliverable due
AEM 4005 001     5/19/2022      2:00 PM   Rockefeller Hall 201 Schwartz Aud
AEM 4140 001     5/18/2022      7:00 PM   Plant Science Building 233
AEM 4140 002     5/18/2022      7:00 PM   Plant Science Building 233
AEM 4190 001     5/15/2022      2:00 PM   Malott Hall 228
AEM 4200 001     5/19/2022      4:30 PM   Final Deliverable due
AEM 4210 001     5/14/2022      2:00 PM   Rockefeller Hall 201 Schwartz Aud
AEM 4225 001     5/15/2022      2:00 PM   M Van Rensselaer Hall G155
AEM 4225 002     5/15/2022      2:00 PM   M Van Rensselaer Hall G155
AEM 4315 001     5/20/2022      2:00 PM   Warren Hall 101
AEM 4350 001     5/16/2022      7:00 PM   M Van Rensselaer Hall G151
AEM 4410 001     5/19/2022      4:30 PM   Final Deliverable due
AEM 4421 001     5/19/2022     12:00 PM   Final Deliverable due
AEM 4532 001     5/19/2022      7:00 PM   Malott Hall 251
AEM 4600 001     5/20/2022      2:00 PM   Malott Hall 406
AEM 4615 001     5/19/2022      4:30 PM   Final Deliverable due
AEM 4650 001     5/16/2022      4:30 PM   Final Deliverable due
AEM 4940 002     5/18/2022     12:00 PM   Final Deliverable due
AEM 4940 003     5/18/2022      4:30 PM   Final Deliverable due
AEM 5110 001     5/17/2022     12:00 PM   Final Deliverable due
AEM 5110 002     5/17/2022     12:00 PM   Final Deliverable due
AEM 5210 001     5/14/2022      2:00 PM   Klarman Hall KG70
AEM 5225 001     5/15/2022      2:00 PM   M Van Rensselaer Hall G155
AEM 5225 002     5/15/2022      2:00 PM   M Van Rensselaer Hall G155
AEM 5241 001     5/17/2022      7:00 PM   Kennedy Hall 116 Call Aud
AEM 5260 001     5/21/2022      9:00 AM   Warren Hall 151
AEM 5410 001     5/19/2022      4:30 PM   Final Deliverable due
AEM 5421 001     5/19/2022     12:00 PM   Final Deliverable due
AEM 5605 001     5/20/2022      2:00 PM   Malott Hall 406
AEM 5650 001     5/16/2022      4:30 PM   Final Deliverable due
AEM 6300 001     5/16/2022      9:00 AM   Warren Hall 150
AEM 6410 001     5/14/2022      2:00 PM   Rockefeller Hall 201 Schwartz Aud
AEM 6480 001     5/17/2022      2:00 PM   Warren Hall 175
AEM 6620 001     5/16/2022      2:00 PM   Warren Hall 101
AEM 6940 002     5/18/2022      2:00 PM   Warren Hall 101
AEM 7100 001     5/16/2022     12:00 PM   Final Deliverable due
AEM 7151 701     5/19/2022      4:30 PM   Final Deliverable due
AEM 7500 001     5/19/2022     12:00 PM   Final Deliverable due
AEM 7620 001     5/16/2022      2:00 PM   Warren Hall 101

AEP 1100 001     5/16/2022      9:00 AM   Physical Sciences 120
AEP 2170 001     5/21/2022      9:00 AM   Rockefeller Hall 203
AEP 3200 001     5/19/2022      9:00 AM   Physical Sciences 120
AEP 3550 001     5/16/2022      7:00 PM   Clark Hall 247
AEP 3620 001     5/19/2022      9:00 AM   Clark Hall 247
AEP 3630 001     5/16/2022      9:00 AM   Rockefeller Hall 203
AEP 4340 001     5/18/2022     12:00 PM   Final Deliverable due
AEP 4400 001     5/18/2022      2:00 PM   Physical Sciences 120
AEP 4450 001     5/18/2022      4:30 PM   Final Deliverable due
AEP 4840 001     5/21/2022      9:00 AM   Phillips Hall 203
AEP 5100 001     5/19/2022      9:00 AM   Physical Sciences 120
AEP 5340 001     5/18/2022     12:00 PM   Final Deliverable due
AEP 5400 001     5/18/2022      2:00 PM   Physical Sciences 120
AEP 5500 001     5/21/2022      9:00 AM   Online Exam
AEP 5510 001     5/19/2022      4:30 PM   Final Deliverable due
AEP 5550 001     5/16/2022      7:00 PM   Clark Hall 247
AEP 5620 001     5/19/2022      9:00 AM   Clark Hall 247

