Skip to main content Search Search Search Toggle navigation Cornell University Registrar Classes + Enrollment Class Roster Courses of Study Courses of Study Archive Student Essentials Gateway Courses Prorated Tuition Student Center FAQ Classes and Enrollment FAQ University Registration Calendars + Exams Academic Calendar Final Exam Policies Spring Prelim Schedule Spring Final Exam Schedule Fall Prelim Exam Schedule Fall Final Exam Schedule Grades + Transcripts Grading Median Grades Ordering Transcripts Transcript FAQ Transcript Keys Validating an eTranscript Service + Resources Apostille Certifications University Registrar Directory College Advising Directory College Registrar Directory Diploma Information Disability Accommodations FERPA ID Cards Mental Health at Cornell Names and Name Changes Use of Student Data Veteran Education Benefits Building Codes Faculty + Staff Faculty Center/Advisor Center Advisor Center FAQ Opscan Scanning Service Changing CIP Codes Data Requests Program Registration For Registrar Staff Spring Prelim Schedule NOTE: These dates may include Religious Holidays for some students. NYS Education Law §224-A mandates that faculty make available an opportunity to make up any examination missed because of religious beliefs. In order to facilitate preparation of makeup exams, students intending to be absent in order to observe any of these holidays are requested to notify the instructor by Friday, February 4. For more information, see Religious Accommodations. Attention Faculty and Department Staff: Many campus buildings and rooms are locked evenings and weekends. To find a building coordinator: Facilities and Campus Services ---Enter a building name ---Search ---The facility code in the query response links to a building details page ---Select Facility Contacts from the left menu ---From the table: Contact UFD (unit facilities rep), Primary To find local tech support: IT Classroom Technology Key to Building Codes Prelim exams begin at 7:30 p.m. 
Exam                 Date         Room[s]

AEM 2210             2/17/2022    KND116
AEM 2210             3/22/2022    KND116     

AEM 2225             2/22/2022    WRN175
AEM 2225             3/29/2022    WRN175     

AEM 2240             2/24/2022    KND116
AEM 2240             3/31/2022    KND116
AEM 2240             5/5/2022     KND116     

AEM 2241             2/22/2022    KND116
AEM 2241             3/29/2022    KND116
AEM 2241             5/5/2022     STL185     

AEM 2300             3/10/2022    ONLINE
AEM 2300             4/12/2022    ONLINE     

AEM 2601             3/8/2022     WRN151, WRN175, WRNB25
AEM 2601             4/19/2022    KND116     

AEM 3100             3/22/2022    WRN175     

AEM 3230             3/3/2022     PLS233, WRNB25
AEM 3230             4/14/2022    KND116     

AEM 5241             2/22/2022    KND116
AEM 5241             3/29/2022    KND116
AEM 5241             5/5/2022     STL185     

AEP 3200             3/10/2022    GSHG76     

AEP 4340             3/17/2022    RCK230     

AEP 4400             3/22/2022    RCK230     

AEP 4840             3/3/2022     PHL219     

AEP 5100             3/10/2022    GSHG76     

AEP 5340             3/17/2022    RCK230     

AEP 5400             3/22/2022    RCK230     

ANSC 2210            3/3/2022     MRS146
ANSC 2210            4/12/2022    MRS146     

ANSC 3400            3/22/2022    STK146     

BEE 2220             2/22/2022    RRB400
BEE 2220             3/24/2022    RRB400     

BEE 4530             3/15/2022    RRB105
BEE 4530             4/19/2022    RRB105     

